feature,importance_mean,importance_std
period,0.39011377511377504,0.09749809841768975
bp_rp,0.33596002503565525,0.09587124029429445
skewness,0.07299843014128723,0.04282226208149949
separation_arcsec,0.017136197136197108,0.018450118976771915
abs_mag_g,0.01619047619047618,0.04857142857142853
ruwe,0.015457875457875414,0.012917269632857475
eta_index,0.004835164835164818,0.009670329670329634
stetson_j,0.003809523809523796,0.001904761904761898
period_power,0.0,0.0
parallax,0.0,0.0
amplitude_p95_p05,0.0,0.0
median_mag,0.0,0.0
std_mag,0.0,0.0
parallax_over_error,0.0,0.0
n_points,0.0,0.0
parallax_error,0.0,0.0
iqr_mag,-0.0018315018315018471,0.02362168792448418
